File,Size,Path,Technical_v1,Baseline_v2,CoT_v3,Action_v4,Intent_v5,Referenced_v6,Selected version,Comments
0033986f3b5cff9476c6097bc2cfc1e2ea5bdca0.xlsx,14,path_0,"Help me set up a sheet to calculate my GPA based on my courses, units, and points. The course points are calculated using the formula =PRODUCT(B4:D4) over the range F4:F52. The total units and total points are summed using the formula =SUM(B4:B52) and =SUM(F4:F52) respectively. The GPA is calculated using the formula =IF(B53=0,'NO GPA',F53/B53) in cell H55.","Transform the GPA calculation template by adding instructions, point values for grades, and ensuring that only specific cells are editable.","Create a structured GPA calculation sheet and calculate COURSE POINTS, total units, total points, and GPA.","Create a GPA calculation sheet with headers, instructions, points per grade, restricted input cells, automatic course points calculation, total units and points sum, and GPA display.",Help me set up a GPA calculator with instructions and automatic calculations.,"Can you help me set up this sheet so it calculates GPA automatically, with clear instructions and notes for filling it out?",,
0033986f3b5cff9476c6097bc2cfc1e2ea5bdca0.xlsx,14,path_1,Can you help me figure out my GPA by using the units and points per unit for each course? The course points are calculated using the product of units and points per unit across ranges F4:F52. Total units and total points are summed using the SUM formula over ranges B53:F53. The GPA is determined by dividing total points by total units.,"Can you help me update the GPA calculation table to include a new column for 'COURSE POINTS' that calculates the product of 'UNITS' and 'POINTS PER UNIT', and also add rows to sum the total units and total points, and finally calculate the GPA?","Calculate the GPA by adding course points, summing totals, and displaying the GPA.","Calculate course points, total units, total points, and GPA for a list of courses.",Can you help me calculate and show the GPA based on course units and points?,"I want to calculate the GPA for each course by multiplying the units and points per unit, sum up the total units and points, and then find the overall GPA based on the selected range.",,
004ab9e8b2d062b61d6ff6af78cbfdd37369d8f5.xlsx,18,path_0,"Can you show me how the number of employees affects revenue, salaries, and profit? The number of employees (ranging from 10 to 200) is used to calculate revenue using the formula Revenue per Salesperson * (Employees ^ Diminishing Return) across range O10:O24. Salaries are calculated using Employees * Cost per Salesperson across range P11:P24. Profit is determined by subtracting Salaries from Revenue across range Q21:Q24.","Can you help me organize the data in the table by adding columns for Employees, Revenue, Salaries, and Profit, and then calculate the values for these new columns based on the given formulas? Also, create a line chart to visualize the Profit data.","Populate columns N, O, P, and Q with data and formulas, and create a 'Profit' line chart using column Q data.","Make the data clearer by adding headers, calculating employees, revenue, salaries, and profit, and creating a profit trend chart.","Help me organize and calculate sales data to see how employees, revenue, salaries, and profit are related.","I want to organize the data to show the number of employees, their revenue, salaries, and profit, and then create a visual representation of the profit trend based on the selected range.",,
0058a5ef87a6efef85b904b907cf7156283c6a90.xlsx,23,path_0,Can you show me the overall score and detailed breakdown for each section of the abstract? The overall score is calculated by summing up the total scores for each section. Each section's total score is derived from the individual criterion scores using the formula =args_1+args_2. The final total score is displayed in cell B3.,"Please update the rubric table to include detailed scores for each criterion, calculate the total score for each section, and provide an overall score out of 100.","Add overall score, total score column, content and style rows with criteria and scores, and calculate and display total scores.","Add scores for each criterion, calculate total scores, and display the overall score.",Can you show me a detailed breakdown of the scores for each criterion and the overall score for the abstract?,Can you help me organize and calculate the scores for each section of this abstract rubric to get a clear evaluation of the abstract based on the selected range?,,
006a33fd07fff0a66656db14666fc6db48455105.xlsx,22,path_1,"Can you show me the percentage of cargo that has been screened and highlight any that are below 100%? The formula used is =IF(F28>0,((D28+E28)/F28)*100,'') and the cells H28:I30 should be highlighted if the value is less than 100.","Can you help me update the Excel sheet by adding a formula to calculate the screening percentage in columns H and I for rows 28 to 30, and apply conditional formatting to highlight cells in these columns if the value is less than 100%?",Highlight percentages less than 100%.,Calculate screened cargo percentage and highlight values below 100%.,Can you show me the monthly cargo screening percentages and highlight any months with incomplete screening?,Can you show the percentage of cargo screened for the selected months and highlight any values that are less than 100%?,,
006a33fd07fff0a66656db14666fc6db48455105.xlsx,22,path_2,"Can you help me check if all cargo was screened properly and highlight any issues? The security screening figures for unknown cargo are calculated using the formula =IF(F28>0,((D28+E28)/F28)*100,'') over the range H28:I30. Any values greater than 100% are highlighted.","Can you help me calculate the screening percentage for each month by dividing the total weight of screened cargo by the total weight of unknown cargo, and highlight the cells where the percentage exceeds 100%?",Calculate and highlight the percentage of screened cargo.,Make the data more readable by calculating screened cargo percentages and highlighting those over 100%.,Can you show me the percentage of cargo screened each month and highlight any values over 100%?,Can you show the percentage of cargo screened for this range and highlight any values that are over 100%?,,
006a33fd07fff0a66656db14666fc6db48455105.xlsx,22,path_3,"Can you show me the percentage of unknown cargo that has been screened and highlight if it is 100%? The formula used is =IF(F28>0,((D28+E28)/F28)*100,'') and the cells H28:I30 should be highlighted if the value is 100.",Can you help me calculate the screening percentage for each month and highlight the cells where the percentage is 100%?,Prepare the form for submission to the CAD.,Calculate the percentage of screened cargo and highlight cells with 100% screening.,Can you show me the monthly cargo screening percentages and highlight when it reaches 100%?,Can you show the percentage of cargo screened each month for this column and highlight the cells when the percentage is 100%?,,
008b0d9153c87bb110777a70a235170eeca7d1f9.xlsx,25,path_0,"Can you help me make sure the partition plate design is clear, complete, and safe? The flow rates Q (ranging from 0.1Q_max to 1.5Q_max) are used to calculate system pressure drops using Q²R formulas for both upstream (R_up) and downstream (R_dn) components across ranges D14:D29 and F14:F29. Final pressures P1 and P2 are determined using P1 = C9 - Q²R_up + K38 and P2 = C10 + Q²*R_dn - K39 respectively.","Can you help me organize the data in the Excel sheet by aligning the headers and values consistently across all columns, adding a 'PAGE NO.' column, and ensuring that the calculated values and notes are clearly displayed?",WW.,"Organize the data by adding and repeating columns for titles and values, and include calculated columns for various values.","Help me create a detailed and organized design document for a partition plate, including all necessary labels, values, and calculations, ensuring clarity and completeness.","Can you help me organize this data so that it clearly shows the design specifications for the partition plate, including dimensions, material types, and stress values, and ensure it is easy to read and understand?",,
0110f9cb1091ec0222433b4e3f4c6253d0373c9c.xlsx,43,path_0,"Can you show me the total scores for each racer, highlight their worst race, and adjust the total by removing the worst score? The total scores for each racer are calculated using the sum of their scores across all races (C3:L35). The lowest score for each racer is identified using the minimum function (N3:N35). The adjusted total is then calculated by subtracting the lowest score from the total (O3:O35).","Add columns for Total, Worst Race, and Grand Total to the SuperPro sheet, and calculate the values accordingly.","Add columns for total, worst race, and grand total scores, and calculate these scores for each racer.","Add columns for total scores, worst race, and grand total in the SuperPro sheet.","Can you show me the total scores for each racer, their worst race, and their adjusted total after removing the worst race?","Can you show the total scores for each racer, highlight their worst race, and then give me the final score after removing the worst race for the selected range?",,
0110f9cb1091ec0222433b4e3f4c6253d0373c9c.xlsx,43,path_1,"Can you show how each racer performed overall, considering their best races and excluding their worst one? The total points for each racer are calculated using SUM over the range C3:L41. The worst race for each racer is identified using MIN over the same range. The grand total is then calculated by subtracting the worst race from the total points for each racer.","Can you add columns to the 'Pro ET' sheet to calculate the total points for each racer, identify their worst race, and then compute their grand total by subtracting the worst race from the total points?","Add and calculate 'Total', 'WorseRace', and 'GrandTotal' columns in 'Pro ET'.","Add columns to the Pro ET sheet to calculate total points, worst race, and grand total after removing the worst race.","Can you show me the total scores, worst performance, and adjusted total for each racer in the Pro ET sheet?","Can you help me summarize the performance of each racer in the Pro ET class by adding columns to show their total score, their lowest score, and their total score minus their lowest score?",,
